0.000	-0.000	-0.000	-0.000	-0.000	0.000	-35.733	-26.466	0.134	0.267	0.045	
10.000	-0.028	-0.020	-0.005	-0.003	0.000	-34.372	-23.780	0.138	0.270	0.046	
20.000	-0.102	-0.073	-0.010	-0.007	0.000	-32.964	-21.060	0.143	0.273	0.048	
30.000	-0.233	-0.161	-0.015	-0.010	0.000	-31.501	-18.306	0.149	0.277	0.049	
40.000	-0.430	-0.287	-0.023	-0.014	0.000	-29.970	-15.513	0.156	0.281	0.052	
50.000	-0.707	-0.455	-0.031	-0.019	0.001	-28.359	-12.678	0.165	0.285	0.054	
60.000	-1.086	-0.667	-0.042	-0.023	0.001	-26.648	-9.800	0.176	0.290	0.057	
70.000	-1.593	-0.925	-0.057	-0.028	0.002	-24.807	-6.875	0.190	0.294	0.061	
80.000	-2.271	-1.224	-0.076	-0.031	0.003	-22.796	-3.909	0.209	0.298	0.066	
90.000	-3.183	-1.552	-0.103	-0.033	0.006	-20.551	-0.915	0.236	0.300	0.073	
