t	x0	y0
0	9.999900001349985	0.05999970000404995
0.1	9.999700006099886	0.08999880002549951
0.2	9.999400016999543	0.11999700008729765
0.30000000000000004	9.999000037498675	0.14999400022229217
0.4	9.998500071746864	0.17998950047352935
0.5	9.997900124593546	0.2099832008945535
0.6000000000000001	9.997200201588006	0.23997480154970682
0.7000000000000001	9.996400308979394	0.26996400251442937
0.8	9.995500453716742	0.2999505038755593
0.9	9.99450064344899	0.3299340057316337
1	9.993400886525029	0.3599142081931891
1.1	9.992201191993743	0.3898908113830634
1.2000000000000002	9.990901569604075	0.4198635154366978
1.3	9.989502029805085	0.44983202050243914
1.4000000000000001	9.988002583746027	0.47979602674184335
1.5	9.986403243276444	0.5097552343299794
1.6	9.98470402094625	0.5397093434557341
1.7000000000000002	9.982904930005844	0.5696580543221176
1.8	9.981005984406222	0.59960106714657
1.9000000000000001	9.979007198799097	0.629538082161269
2	9.976908588537038	0.6594687996134382
2.1	9.974710169673605	0.6893929197656568
2.2	9.972411958963509	0.7193101428961705
2.3000000000000003	9.97001397386277	0.7492201692992038
2.4000000000000004	9.967516232528887	0.779122699285273
2.5	9.964918753821019	0.8090174331815013
2.6	9.962221557300175	0.8389040713319349
2.7	9.959424663229415	0.8687823140978604
2.8000000000000003	9.956528092574054	0.8986518618581246
2.9000000000000004	9.953531867001887	0.9285124150094549
3	9.950436008883411	0.9583636739667822
3.1	9.947240541292066	0.9882053391635651
3.2	9.943945488004477	1.018037111052116
3.3000000000000003	9.940550873500715	1.0478586901039295
3.4000000000000004	9.93705672296456	1.0776697768100119
3.5	9.933463062283773	1.1074700716812134
3.6	9.929769918050386	1.1372592752485626
3.7	9.925977317560992	1.1670370880636025
3.8000000000000003	9.92208528881705	1.1968032106987287
3.9000000000000004	9.918093860525191	1.2265573437475308
4	9.914003062097551	1.2562991878251346
4.1000000000000005	9.909812923652092	1.2860284435685487
4.2	9.905523476012949	1.3157448116370118
4.3	9.901134750710776	1.3454479927123435
4.4	9.89664677998311	1.3751376874992973
4.5	9.892059596774734	1.4048135967259168
4.6000000000000005	9.88737323473806	1.4344754211438937
4.7	9.882587728233512	1.4641228615289297
4.800000000000001	9.877703112329925	1.4937556186811005
4.9	9.872719422804954	1.5233733934252232
5	9.867636696145484	1.5529758866112262
5.1000000000000005	9.862454969548057	1.5825627991145232
5.2	9.85717428091931	1.6121338318363887
5.300000000000001	9.85179466887641	1.6416886857043382
5.4	9.846316172747516	1.6712270616725111
5.5	9.840738832572233	1.7007486607220568
5.6000000000000005	9.835062689102092	1.7302531838615243
5.7	9.82928778380102	1.7597403321272556
5.800000000000001	9.82341415884584	1.789209806583782
5.9	9.817441857126761	1.8186613083242251
6	9.811370922247896	1.8480945384707
6.1000000000000005	9.805201398527773	1.877509198174723
6.2	9.798933330999862	1.906904988617624
6.300000000000001	9.792566765413115	1.9362816110109609
6.4	9.786101748232507	1.9656387665969395
6.5	9.779538326639596	1.9949761566488367
6.6000000000000005	9.77287654853308	2.024293482471428
6.7	9.766116462529377	2.053590445401419
6.800000000000001	9.7592581179632	2.082866746807882
6.9	9.752301564888153	2.112122088092694
7	9.745246854077335	2.141356170690983
7.1000000000000005	9.73809403702394	2.1705686960715775
7.2	9.730843165941884	2.1997593657374575
7.300000000000001	9.723494293766432	2.2289278812262143
7.4	9.716047474154829	2.258073944110513
7.5	9.708502761486953	2.2871972559985583
7.6000000000000005	9.700860210865967	2.3162975185345687
7.7	9.693119878118987	2.3453744333992512
7.800000000000001	9.68528181979775	2.374427702310285
7.9	9.6773460931793	2.4034570270228066
8	9.669312756266683	2.4324621093299035
8.1	9.661181867789638	2.461442651063109
8.200000000000001	9.652953487205318	2.490398354092906
8.3	9.644627674699	2.5193289203292335
8.4	9.63620449118482	2.548234051722
8.5	9.627683998306502	2.5771134502616007
8.6	9.619066258438108	2.605966817979442
8.700000000000001	9.610351334684797	2.63479385694847
8.8	9.601539290883581	2.663594269283706
8.9	9.592630191604103	2.692367757142785
9	9.583624102149415	2.7211140227265047
9.1	9.574521088556772	2.749832768279376
9.200000000000001	9.565321217598427	2.778523696090181
9.3	9.556024556782447	2.807186508492536
9.4	9.54663117435352	2.835820907865463
9.5	9.537141139293789	2.8644265966339653
9.600000000000001	9.527554521323683	2.8930032772696093
9.700000000000001	9.517871390902764	2.921550652291113
9.8	9.508091819230575	2.9500684242649413
9.9	9.498215878247507	2.9785562958059066
