 t x0 y0 x1 y1
0 0.0 9.998400153587713 0.07998720122870172 0.001599846412287083 -0.07998720122870172
1 0.40080160320641284 9.995199897575446 0.11994879180583724 0.004800102424553713 -0.11994879180583724
2 0.8016032064128257 9.990397950606557 0.15987192128050792 0.00960204939344243 -0.15987192128050792
3 1.2024048096192386 9.983992310016117 0.19974367497654125 0.01600768998388258 -0.19974367497654125
4 1.6032064128256514 9.975980246927596 0.23955104800876684 0.024019753072402665 -0.23955104800876684
5 2.0040080160320644 9.966358299557115 0.2792809188308189 0.0336417004428841 -0.2792809188308189
6 2.404809619238477 9.955122264686196 0.3189200221703405 0.044877735313801924 -0.3189200221703405
7 2.80561122244489 9.942267187253009 0.358454921201215 0.057732812746987994 -0.358454921201215
8 3.2064128256513027 9.927787348000523 0.397871978794579 0.07221265199947258 -0.397871978794579
9 3.6072144288577155 9.911676249107854 0.43715732768074184 0.08832375089213923 -0.43715732768074184
10 4.008016032064129 9.893926597718087 0.4762968393425912 0.10607340228190497 -0.4762968393425912
11 4.408817635270541 9.874530287261924 0.5152760914473878 0.12546971273806629 -0.5152760914473878
12 4.809619238476954 9.853478376461489 0.554080333607816 0.14652162353850065 -0.554080333607816
13 5.210420841683367 9.830761065882216 0.5926944512444543 0.16923893411777197 -0.5926944512444543
14 5.61122244488978 9.806367671882917 0.6311029273001235 0.1936323281170689 -0.6311029273001235
15 6.012024048096192 9.780286597794436 0.6692898015314338 0.21971340220554805 -0.6692898015314338
16 6.412825651302605 9.752505302135653 0.7072386270738071 0.2474946978643306 -0.7072386270738071
17 6.813627254509019 9.723010263651558 0.7449324239426963 0.27698973634842383 -0.7449324239426963
18 7.214428857715431 9.691786942931417 0.7823536290949713 0.3082130570685638 -0.7823536290949713
19 7.615230460921844 9.658819740335167 0.819484042629664 0.3411802596648122 -0.819484042629664
20 8.016032064128257 9.624091949922812 0.856304769655464 0.37590805007716416 -0.856304769655464
21 8.41683366733467 9.587585709043994 0.8927961572923588 0.41241429095597953 -0.8927961572923588
22 8.817635270541082 9.54928194320259 0.9289377262051983 0.4507180567973794 -0.9289377262051983
23 9.218436873747494 9.509160305763377 0.964708095986024 0.4908396942365892 -0.964708095986024
24 9.619238476953909 9.467199112013533 1.0000849036077004 0.5328008879864282 -1.0000849036077004
25 10.02004008016032 9.4233752670302 1.035044714061221 0.5766247329697569 -1.035044714061221
26 10.420841683366733 9.377664186735071 1.069562922160036 0.6223358132648831 -1.069562922160036
27 10.821643286573147 9.330039711436848 1.1036136443431985 0.6699602885631026 -1.1036136443431985
28 11.22244488977956 9.280474011070599 1.137169599130543 0.7195259889293495 -1.137169599130543
29 11.623246492985972 9.228937481237635 1.170201974672033 0.7710625187623096 -1.170201974672033
30 12.024048096192384 9.175398629028324 1.2026802815830153 0.8246013709716167 -1.2026802815830153
31 12.424849699398798 9.119823947470309 1.2345721889590326 0.880176052529629 -1.2345721889590326
32 12.82565130260521 9.062177777282896 1.2658433411075922 0.937822222717038 -1.2658433411075922
33 13.226452905811623 9.002422154430887 1.296457152106832 0.9975778455690427 -1.296457152106832
34 13.627254509018037 8.940516641753273 1.326374574785924 1.0594833582466523 -1.326374574785924
35 14.02805611222445 8.876418142688598 1.3555538400985856 1.1235818573113243 -1.3555538400985856
36 14.428857715430862 8.810080694822746 1.3839501621028882 1.1899193051771733 -1.3839501621028882
37 14.829659318637274 8.741455240638752 1.4115154028339807 1.2585447593611654 -1.4115154028339807
38 15.230460921843688 8.670489372442583 1.4381976902181213 1.329510627557332 -1.4381976902181213
39 15.6312625250501 8.597127047962838 1.463940980770497 1.402872952037076 -1.463940980770497
40 16.032064128256515 8.521308272562846 1.488684557072737 1.4786917274370648 -1.488684557072737
41 16.432865731462925 8.442968743345741 1.5123624478429942 1.5570312566541682 -1.5123624478429942
42 16.83366733466934 8.362039449659013 1.5349027556653425 1.6379605503408934 -1.5349027556653425
43 17.234468937875754 8.278446223595312 1.5562268739671494 1.7215537764045916 -1.5562268739671494
44 17.635270541082164 8.19210923301893 1.5762485703961377 1.80789076698097 -1.5762485703961377
45 18.03607214428858 8.102942408400484 1.594872908045193 1.8970575915994141 -1.594872908045193
46 18.43687374749499 8.010852793295264 1.6119949685812007 1.9891472067046305 -1.6119949685812007
47 18.837675350701403 7.915739806640428 1.6274983316714262 2.084260193359463 -1.6274983316714262
48 19.238476953907817 7.817494403175779 1.6412532523524699 2.1825055968241087 -1.6412532523524699
49 19.639278557114228 7.715998116250057 1.6531144610007615 2.2840018837498275 -1.6531144610007615
50 20.04008016032064 7.611121965163164 1.6629184876916656 2.3888780348367162 -1.6629184876916656
51 20.440881763527056 7.502725207243273 1.670480381587321 2.4972747927566035 -1.670480381587321
52 20.841683366733466 7.390653913525685 1.6755896530601357 2.6093460864741878 -1.6755896530601357
53 21.24248496993988 7.274739347073027 1.6780052063028308 2.725260652926842 -1.6780052063028308
54 21.643286573146295 7.154796126326675 1.6774489452636343 2.84520387367319 -1.6774489452636343
55 22.044088176352705 7.030620165548722 1.6735976136538004 2.969379834451138 -1.6735976136538004
56 22.44488977955912 6.901986406317839 1.666072251331798 3.098013593682017 -1.666072251331798
57 22.845691382765533 6.768646399425203 1.6544243839219066 3.231353600574648 -1.6544243839219066
58 23.246492985971944 6.63032588707348 1.6381176600676477 3.3696741129263668 -1.6381176600676477
59 23.647294589178358 6.486722713714574 1.6165030279254635 3.513277286285268 -1.6165030279254635
60 24.04809619238477 6.337505746320857 1.5887845574738821 3.6624942536789806 -1.5887845574738821
