 t x0 y0 x1 y1 x2 y2 x3 y3 x4 y4 x5 y5
0 0.0 0.0 0.0 4.9604752444003175 0.8908919893873176 5.972414013128498 0.8146195922642179 6.979680761115032 0.7548318102445822 7.984420664862578 0.7064182653414195 8.987679680131643 0.6662103585233942
1 1.0050251256281406 0.0 0.0 4.88220040643805 1.3276109416357142 5.91755759380641 1.217271287802359 6.939189289381781 1.1295175802193864 7.953337688460367 1.0579114619392713 8.96308114384364 0.9981772628308602
2 2.0100502512562812 0.0 0.0 4.766229542656054 1.754079258480357 5.835865234618669 1.6144026958634776 6.87872924164394 1.5009529910083352 7.906856297133969 1.4073564417654865 8.926263044203063 1.328783330378677
3 3.015075376884422 0.0 0.0 4.613875258400464 2.1671576614246852 5.7278851956527035 2.0042620201125487 6.79855936826161 1.8680876769520247 7.845110704521548 1.754084517274612 8.877300369008386 1.657581529452206
4 4.0201005025125625 0.0 0.0 4.42668753322371 2.5638746427573995 5.594274061215516 2.385152688490891 6.6989918439776 2.229892334775285 7.768263521291959 2.097436035423938 8.816284206697894 1.9841290851118412
5 5.025125628140703 0.0 0.0 4.206432580352309 2.9414395547479053 5.43579109068694 2.755439098645211 6.580390500956386 2.5853612084250277 7.676505123254114 2.4367615161988803 8.74332149404662 2.3079880366563903
6 6.030150753768844 0.0 0.0 3.955072040767889 3.2972532080688497 5.253292423855187 3.113551790665231 6.4431689773301635 2.9335144231297487 7.57005298123655 2.771422745562045 8.658534746637857 2.6287257795408348
7 7.035175879396984 0.0 0.0 3.674742742547897 3.6289162690970764 5.047725194393004 3.4579920733291885 6.2877887938251265 3.2734001702503304 7.449150956035082 3.100793822395782 8.56206177308413 2.945915591414811
8 8.040201005025125 0.0 0.0 3.367737191702627 3.934235748021024 4.820121598345941 3.7873361338255576 6.114757370217397 3.6040967454295734 7.314068561615059 3.4242621592351634 8.454055373957765 3.259137142008115
9 9.045226130653266 0.0 0.0 3.036484902903831 4.2112298625238145 4.571592957768464 4.100238663618812 5.92462599249866 3.9247144433570953 7.1651001996302774 3.7412294367973713 8.334683026372977 3.567976986646534
10 10.050251256281406 0.0 0.0 2.683534627725812 4.458131547418463 4.303323813082523 4.39543603485299 5.717987740731856 4.2343973131497865 7.002564368184988 4.051112512504158 8.204126555140215 3.872029043235244
11 11.055276381909547 0.0 0.0 2.31153749436593 4.673390860918885 4.01656607144485 4.671749062541266 5.495475386661201 4.532324778910169 6.826802847620769 4.353344283366164 8.062581791389507 4.170895052597709
12 12.060301507537687 0.0 0.0 1.9232310360100817 4.855676514866009 3.7126332324686415 4.928085387876554 5.257759269220878 4.8177131304712075 6.638179865958076 4.647374503751538 7.910258219533184 4.464185022105469
13 13.065326633165828 0.0 0.0 1.5214240545806303 5.00387673050672 3.3928947071064544 5.163441517419029 5.005545155174078 5.089816889672638 6.437081246464895 4.932670558696657 7.747378613409839 4.75151765257829
14 14.070351758793969 0.0 0.0 1.1089822419505455 5.117099594358166 3.05877024040029 5.376904551768463 4.73957209121828 5.347930057747627 6.223913539663769 5.208718193534148 7.574178662421014 5.032520748474842
15 15.07537688442211 0.0 0.0 0.6888144611838581 5.194673061021522 2.7117244441628165 5.567653635702744 4.460610253022089 5.591387249536866 5.999103141925107 5.4750222007133225 7.39090658844027 5.306831611431404
16 16.08040201005025 0.0 0.0 0.2638595753363819 5.236144722039401 2.353261441479204 5.734961159740979 4.169458795820561 5.819564720297581 5.763095402630542 5.73110706477107 7.1978227542411055 5.574097417239992
17 17.08542713567839 0.0 0.0 -0.1629262997559961 5.24128143232229 1.9849196212110698 5.878193740743651 3.866943710395553 6.031881290845004 5.516353721726572 5.9765175664779155 6.995199264156088 5.833975576387878
18 18.09045226130653 0.0 0.0 -0.5885822499543185 5.210068858444173 1.608266497434442 5.996813006557651 3.553915687509913 6.2277991766610885 5.259358639326929 6.210819347234962 6.783319557644678 6.086134078307693
19 19.09547738693467 0.0 0.0 -1.0101548604525685 5.142710986247177 1.2248936659394087 6.090376206905956 3.231247993153059 6.406824726437042 4.992606918863233 6.433599434833632 6.562477996411868 6.330251819511277
20 20.100502512562812 0.0 0.0 -1.424710494335929 5.039629598636451 0.8364118475442824 6.158536669757161 2.8998343562934523 6.568509075289586 4.716610625128474 6.644466731712233 6.33297944568412 6.566018915801188
21 21.105527638190953 0.0 0.0 -1.829347689064 4.9014637080772365 0.44444600601452533 6.201044119328002 2.560586870222824 6.712448717612472 4.4318961984075536 6.8430524668522885 6.095138850213426 6.793136998771474
22 22.110552763819094 0.0 0.0 -2.2212098045025783 4.729068901998252 0.05063052680940001 6.217744868704637 2.214433908019208 6.8382860042010485 4.1390035257443785 7.0290106124540825 5.849280805544804 7.0113194968239005
23 23.115577889447234 0.0 0.0 -2.597498050012538 4.523516532948897 -0.34339555830819923 6.208581896841851 1.8623180521518066 6.945709567924409 3.8384850102563983 7.202018266515809 5.5957391250473485 7.220291900937578
24 24.120603015075375 0.0 0.0 -2.9554850090118148 4.286092658893058 -0.7359933165842436 6.173594816435145 1.5051940378010007 7.034454681822471 3.5309046392757253 7.361776002415039 5.3348564031743715 7.419792015438813
25 25.125628140703515 0.0 0.0 -3.2925287670000363 4.0182966124751545 -1.1255286457585214 6.112919735876333 1.1440267090716127 7.1043035530792515 3.2168370519714657 7.508008186555597 5.066983575384157 7.609570194024222
26 26.130653266331656 0.0 0.0 -3.606087732818192 3.7218390516105164 -1.5103770080871348 6.026789015214331 0.7797889869367772 7.155085555873343 2.896866606991153 7.6404632650983695 4.792479475119799 7.789389561293795
